Fast_Window,Slow_Window,Macro_Window,Total_Return_Pct,CAGR,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_Pct
40,100,225,40.95,10.580751010926882,0.53,1.2665367311897282,-11.53%
40,100,240,40.15,10.590470613162584,0.53,1.24888746571565,-11.57%
40,110,150,82.0,17.51521695526652,1.23,2.158768111061671,-11.19%
40,110,165,73.64,16.31700195971588,1.11,2.032990991456731,-11.33%
40,110,180,68.0,15.541514029517579,1.03,1.9493212246469396,-11.36%
40,110,195,63.34,14.904309664569704,0.96,1.8762511912844289,-11.42%
40,110,210,51.89,12.792547195883852,0.75,1.6061106517452026,-11.40%
40,110,225,45.52,11.619516231116457,0.64,1.443996454659038,-11.36%
40,110,240,44.14,11.520187081711985,0.63,1.4117320843622518,-11.37%
40,120,150,91.6,19.154616716218833,1.39,2.3503318074353556,-10.78%
40,120,165,83.06,18.012435502488543,1.27,2.236386073074541,-10.88%
40,120,180,77.68,17.35797618451709,1.2,2.168427783592569,-10.94%
40,120,195,71.57,16.514814116722665,1.12,2.0675943163689943,-11.00%
40,120,210,58.48,14.180685284818795,0.89,1.772890974050725,-10.98%
40,120,225,51.31,12.902978423693657,0.76,1.5930601872364223,-10.93%
40,120,240,49.14,12.66008805680121,0.74,1.5440508158928585,-10.94%
40,130,150,94.44,19.628078662642224,1.44,2.4397890875014907,-10.66%
40,130,165,86.83,18.673231407462175,1.34,2.343956722784054,-10.66%
40,130,180,82.33,18.20524283187781,1.3,2.3217496151142023,-10.69%
40,130,195,75.27,17.220844202101926,1.2,2.2049030203954585,-10.73%
40,130,210,61.79,14.862451829604794,0.96,1.8985323312300302,-10.71%
40,130,225,54.1,13.509063520901998,0.83,1.7154471095091461,-10.66%
40,130,240,52.26,13.357857963515297,0.81,1.674074924141536,-10.66%
40,140,150,93.22,19.425313187849703,1.42,2.4079851760311155,-10.95%
40,140,165,86.22,18.5669727923623,1.33,2.3264947415214445,-10.78%
40,140,180,81.77,18.10403819653088,1.29,2.3008326051357044,-10.72%
40,140,195,74.71,17.114676162343322,1.19,2.17934046948052,-10.77%
40,140,210,61.36,14.77444858300261,0.95,1.87739259714911,-10.75%
40,140,225,53.71,13.424810882094395,0.82,1.6975789768759637,-10.70%
40,140,240,52.06,13.313431688086874,0.81,1.664153084707821,-10.70%
40,150,150,95.73,19.841469874372585,1.47,2.484844311042746,-10.67%
40,150,165,88.29,18.92653618990532,1.38,2.3915723046633115,-10.65%
40,150,180,84.03,18.511103728548495,1.33,2.3703330689588644,-10.67%
40,150,195,77.2,17.58489197572237,1.24,2.258687403151953,-10.72%
40,150,210,63.28,15.166111013297702,1.0,1.942340609537351,-10.70%
40,150,225,55.26,13.758773419818016,0.85,1.7546218854742806,-10.65%
40,150,240,53.56,13.645635057942318,0.85,1.7202322396265668,-10.65%
40,160,150,96.38,20.18470403248145,1.51,2.5656801477015745,-11.11%
40,160,165,91.25,19.43574105191308,1.43,2.487813320935513,-10.93%
40,160,180,88.64,19.330391581806914,1.43,2.5367484584911892,-10.86%
40,160,195,81.68,18.41910969558691,1.33,2.4252641072248933,-10.75%
40,160,210,66.38,15.791618004003505,1.07,2.075685621858489,-10.70%
40,160,225,58.93,14.540217389780752,0.94,1.9049074357039588,-10.65%
40,160,240,56.7,14.33374331033066,0.92,1.8597029779393899,-10.65%
40,170,150,92.89,19.83318469484714,1.48,2.52129241312933,-10.77%
40,170,165,89.44,19.239029139671437,1.42,2.467511912382929,-10.60%
40,170,180,88.27,19.26517192363182,1.43,2.534290756730945,-10.58%
40,170,195,81.26,18.341532392601145,1.33,2.420319201148446,-10.62%
40,170,210,65.94,15.703344480393477,1.06,2.0682534707810833,-10.60%
40,170,225,59.12,14.580324776552157,0.95,1.917345598380244,-10.55%
40,170,240,56.46,14.281492378917559,0.93,1.860191589995225,-10.55%
40,180,150,95.33,20.49402107134921,1.54,2.5829018511760244,-11.22%
40,180,165,92.41,19.98972277022313,1.49,2.540857836753484,-11.04%
40,180,180,86.95,19.031740144005973,1.41,2.499729065030212,-10.98%
40,180,195,79.78,18.067133370961198,1.31,2.378846703621001,-10.94%
40,180,210,64.74,15.46174844278152,1.04,2.033212832937189,-10.87%
40,180,225,57.97,14.337049552915392,0.93,1.8820467240614502,-10.62%
40,180,240,56.0,14.181187331537304,0.92,1.8508940527830087,-10.64%
40,190,150,97.72,21.159441970080106,1.61,2.68227503589486,-11.31%
40,190,165,94.94,20.677344686961476,1.57,2.6465742714660885,-11.14%
40,190,180,89.37,19.69635157430929,1.48,2.607912731292164,-11.07%
40,190,195,83.2,18.698795692845582,1.38,2.481330149018854,-11.04%
40,190,210,68.2,16.154993686021246,1.12,2.1426950750982816,-10.97%
40,190,225,61.62,15.104926995447322,1.01,2.0009460350618045,-10.74%
40,190,240,59.66,14.97360113813988,1.0,1.9705788047551642,-10.74%
40,200,150,90.71,20.180818218397214,1.52,2.5560319082977907,-11.24%
40,200,165,87.58,19.615843535688015,1.46,2.50952653676088,-11.07%
40,200,180,81.99,18.589825726452492,1.37,2.462158749937216,-11.08%
40,200,195,78.72,17.979143120705853,1.31,2.388035099503331,-11.05%
40,200,210,67.42,15.999605761207736,1.1,2.1260699431914554,-11.00%
40,200,225,60.72,14.916735424787554,0.99,1.97973111220248,-10.83%
40,200,240,58.41,14.704415056176279,0.98,1.9396689507283602,-10.82%
40,210,150,79.93,18.432209327884074,1.34,2.3356754771299846,-11.56%
40,210,165,76.98,17.86969695128404,1.29,2.284930179319978,-11.38%
40,210,180,71.71,16.8479585955696,1.19,2.2246290960731843,-11.40%
40,210,195,68.66,16.246392347696425,1.13,2.1500267892081233,-11.36%
40,210,210,64.45,15.403174844047562,1.05,2.0419721263088744,-11.32%
40,210,225,57.8,14.3009810054733,0.93,1.8936429869137594,-11.15%
40,210,240,55.46,14.063172724744287,0.91,1.8510330495549367,-11.14%
40,220,150,79.84,18.646762288369857,1.36,2.372347062795064,-11.46%
40,220,165,76.89,18.07644477097341,1.31,2.3206178765697163,-11.29%
40,220,180,71.52,17.020729047097927,1.21,2.252821640689606,-11.30%
40,220,195,68.9,16.4971302917591,1.15,2.186311090399838,-11.27%
40,220,210,64.93,15.692657372755958,1.07,2.0809485788306326,-11.22%
40,220,225,60.45,14.86013270741724,0.99,1.9714451879080306,-11.05%
40,220,240,58.12,14.641750993607916,0.97,1.9302293739894536,-11.04%
40,230,150,78.81,18.683176924343027,1.37,2.395347271833466,-11.79%
40,230,165,76.2,18.169936813177646,1.32,2.350088093585533,-11.62%
40,230,180,70.78,17.0867496536661,1.22,2.279028400349527,-11.63%
40,230,195,68.59,16.64219711023083,1.17,2.2197887184614267,-11.60%
40,230,210,65.13,15.931469740178116,1.1,2.126553022051746,-11.55%
40,230,225,62.92,15.471994077752305,1.06,2.066001798484233,-11.38%
40,230,240,59.84,15.012241983579045,1.01,1.9886076168790847,-11.37%
40,240,150,77.91,18.745173191459518,1.38,2.374071475198321,-12.00%
40,240,165,75.08,18.1786924463635,1.32,2.3243771073291652,-11.83%
40,240,180,69.32,17.00555661166554,1.22,2.2440305172843846,-11.84%
40,240,195,67.43,16.61452455994965,1.17,2.193398312857702,-11.81%
40,240,210,63.9,15.875808318871854,1.1,2.098027006757033,-11.76%
40,240,225,61.49,15.365034707666748,1.05,2.0316534150577605,-11.59%
40,240,240,58.84,14.797182718396606,0.99,1.954055951651987,-11.60%
45,100,150,80.15,17.192068382253446,1.2,2.1184691497757955,-11.21%
45,100,165,71.83,15.983625441343886,1.08,1.9910754759261222,-11.37%
45,100,180,66.29,15.21283040509589,1.0,1.9074901280890302,-11.40%
45,100,195,61.88,14.61256464632017,0.94,1.8401394487381715,-11.47%
45,100,210,50.17,12.423203423067864,0.72,1.5595438600959621,-11.45%
45,100,225,44.11,11.301512779812839,0.61,1.4044537716508847,-11.40%
45,100,240,43.38,11.3445033481425,0.61,1.3893523119723148,-11.42%
